text,label,label_name
Good morning — I'm getting a 'missing DLL' error when launching the tool. Thanks in advance.,4,software
Good morning — I'm disputing a charge from three weeks ago. Let me know ASAP.,0,billing
Urgent: I cannot browse the internet but the LAN connection shows active. Regards.,2,network
Good morning — The cooling pad I ordered is not compatible with my laptop model. Thanks in advance.,1,hardware
Quick question: How do I download my tax invoice for last quarter? Regards.,0,billing
I received a collection notice but my account is current. Appreciate any guidance.,0,billing
Quick question: I need to disable MFA for an upcoming travel period. Regards.,3,account
My billing address is wrong on all my invoices. This is affecting my work.,0,billing
"Hi, The power adapter for my device sparks when plugged in. Please help.",1,hardware
Ping times to our cloud servers have spiked to 400ms.,2,network
Urgent: New hire's account was not provisioned before their start date. Regards.,3,account
"Hi, My device was assigned a duplicate IP address on the LAN. Let me know ASAP.",2,network
"Hello, Can you explain the extra line item on my statement? This is affecting my work.",0,billing
Quick question: The antivirus software is quarantining a legitimate work file.,4,software
FYI — My trackpad stopped clicking after the latest OS update.,1,hardware
FYI — I cannot connect to the VPN from home.,2,network
Quick question: I'm getting a 'missing DLL' error when launching the tool. Thanks in advance.,4,software
The plugin I installed yesterday is causing crashes.,4,software
FYI — Font rendering is blurry after upgrading to the new display drivers.,4,software
My download speed dropped to under 1 Mbps today. This is affecting my work.,2,network
Quick question: I cannot uninstall the old version before installing the new one. Please help.,4,software
FYI — The plugin I installed yesterday is causing crashes.,4,software
Urgent: The SSL certificate for our internal portal expired.,2,network
"Hello, Can you explain the extra line item on my statement? This is affecting my work.",0,billing
"Hey there, The firewall is blocking my access to an approved tool. This is affecting my work.",2,network
Good morning — Font rendering is blurry after upgrading to the new display drivers. This is affecting my work.,4,software
The webcam LED is on but no image appears in video calls. Please help.,1,hardware
"Hi, I need to update my payment method but I'm getting an error. Regards.",0,billing
Good morning — I can't reach the shared network drive from branch office. Regards.,2,network
"Hello, I received a collection notice but my account is current. Appreciate any guidance.",0,billing
FYI — I need a temporary password for a shared account.,3,account
I'm getting a 'missing DLL' error when launching the tool. Appreciate any guidance.,4,software
"Hi, My trackpad stopped clicking after the latest OS update. This is affecting my work.",1,hardware
Quick question: The macro I recorded in Excel is throwing a runtime error.,4,software
I cannot change my email address in the profile settings. Regards.,3,account
"Hello, The cooling pad I ordered is not compatible with my laptop model. Let me know ASAP.",1,hardware
Quick question: My IDE keeps freezing when I open files larger than 5 MB. Let me know ASAP.,4,software
